name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,calories,serving_size_g,fat_total_g,fat_saturated_g,protein_g,sodium_mg,potassium_mg,cholesterol_mg,carbohydrates_total_g,fiber_g,sugar_g
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,West Bengal,East,385.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,100.1
Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,Rajasthan,West,390.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North,294.3,100.0,0.5,0.0,3.1,11.0,99.0,0.0,77.8,3.7,59.4
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,Rajasthan,West,314.5,100.0,6.4,0.5,10.9,18.0,177.0,0.0,68.3,27.9,0.0
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,West Bengal,East,45.56666666666666,300.0,0.6333333333333333,0.39999999999999997,1.3,20.333333333333332,39.333333333333336,2.6666666666666665,2.9,0.0,1.2666666666666666
Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,West Bengal,East,287.0,300.0,0.4666666666666666,0.10000000000000002,6.3999999999999995,79.33333333333333,95.33333333333333,0.0,65.39999999999999,3.5,34.06666666666666
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,Uttar Pradesh,North,204.2,200.0,3.95,0.35,7.15,9.5,126.0,0.0,44.65,15.149999999999999,2.3
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,-1,-1,385.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,100.1
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,West Bengal,East,385.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,100.1
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,10,40,sweet,dessert,-1,-1,245.9,100.0,0.5,0.0,2.4,22.0,70.0,0.0,65.5,7.9,50.9
Laddu,"Gram flour, ghee, sugar",vegetarian,10,40,sweet,dessert,-1,-1,390.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,Punjab,North,385.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,100.1
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20,30,sweet,dessert,-1,-1,314.5,100.0,6.4,0.5,10.9,18.0,177.0,0.0,68.3,27.9,0.0
Phirni,"Rice, sugar, nuts",vegetarian,30,20,sweet,dessert,Odisha,East,613.2,100.0,53.8,8.7,20.1,277.0,457.0,0.0,21.4,6.9,4.1
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,Uttar Pradesh,North,613.2,100.0,53.8,8.7,20.1,277.0,457.0,0.0,21.4,6.9,4.1
Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,Maharashtra,West,51.3,100.0,1.9,1.2,3.5,52.0,100.0,8.0,4.9,0.0,0.0
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,10,60,sweet,dessert,Uttar Pradesh,North,170.15,200.0,1.0,0.1,2.9,11.5,72.0,0.0,42.4,5.15,27.7
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,-1,60,sweet,dessert,Maharashtra,West,310.0,1.0,10.0,0.0,10.0,0.0,100.0,0.0,70.0,30.0,0.0
Chhena jalebi,"Chhena, sugar, ghee",vegetarian,10,50,sweet,dessert,Odisha,East,893.6,100.0,98.2,61.7,0.3,2.0,2.0,253.0,0.0,0.0,0.0
Chhena kheeri,"Chhena, sugar, milk",vegetarian,-1,60,sweet,dessert,Odisha,East,51.3,100.0,1.9,1.2,3.5,52.0,100.0,8.0,4.9,0.0,0.0
Chhena poda,"Sugar, chenna cheese",vegetarian,10,45,sweet,dessert,Odisha,East,393.9,100.0,33.0,18.9,22.7,661.0,459.0,100.0,3.2,0.0,0.5
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,sweet,dessert,West Bengal,East,245.45,200.0,14.1,13.05,2.1,145.5,58.0,0.0,30.1,6.199999999999999,19.55
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",vegetarian,25,60,sweet,dessert,Odisha,East,314.5,100.0,6.4,0.5,10.9,18.0,177.0,0.0,68.3,27.9,0.0
Ledikeni,"Chhena, sugar, ghee",vegetarian,45,45,sweet,dessert,West Bengal,East,893.6,100.0,98.2,61.7,0.3,2.0,2.0,253.0,0.0,0.0,0.0
Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,20,30,sweet,dessert,Assam,North East,115.19999999999999,200.0,0.95,0.6,1.75,26.0,50.0,4.0,25.599999999999998,0.0,22.65
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,sweet,dessert,Bihar,North,336.1,100.0,14.9,0.5,16.1,88.0,483.0,0.0,53.0,39.4,0.0
Mihidana,"Besan flour, sugar, ghee",vegetarian,15,30,sweet,dessert,West Bengal,East,639.15,200.0,52.45,31.200000000000003,11.450000000000001,32.5,156.5,126.5,28.35,5.35,5.5
Misti doi,"Milk, jaggery",vegetarian,480,30,sweet,dessert,West Bengal,East,371.9,100.0,0.0,0.0,0.0,27.0,4.0,0.0,98.7,0.0,97.6
Pantua,"Chhena, sugar, ghee, flour",vegetarian,45,45,sweet,dessert,West Bengal,East,362.6,100.0,1.0,0.2,10.2,2.0,106.0,0.0,77.0,2.7,0.3
Pithe,"Rice flour, wheat flour",vegetarian,15,35,sweet,dessert,Assam,North East,242.60000000000002,200.0,0.65,0.15000000000000002,6.550000000000001,1.5,75.5,0.0,53.05,1.55,0.2
Rasabali,"Chenna, sweetened milk",vegetarian,15,30,sweet,dessert,Odisha,East,51.3,100.0,1.9,1.2,3.5,52.0,100.0,8.0,4.9,0.0,0.0
Ras malai,"Chhena, reduced milk, pistachio",vegetarian,180,60,sweet,dessert,West Bengal,East,557.9,100.0,45.1,5.7,21.6,435.0,466.0,0.0,27.1,9.9,7.2
Rasgulla,"Chhena, sugar, cardamom",vegetarian,10,90,sweet,dessert,West Bengal,East,314.5,100.0,6.4,0.5,10.9,18.0,177.0,0.0,68.3,27.9,0.0
Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,30,20,sweet,dessert,West Bengal,East,314.5,100.0,6.4,0.5,10.9,18.0,177.0,0.0,68.3,27.9,0.0
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10,50,sweet,dessert,West Bengal,East,80.05000000000001,200.0,0.3,0.1,2.2,15.5,41.0,0.0,17.599999999999998,1.7,1.35
Ariselu,"Rice flour, jaggery, ghee",vegetarian,15,75,sweet,dessert,Andhra Pradesh,South,510.5,200.0,49.25,30.900000000000002,1.5,1.5,22.0,126.5,14.2,0.2,0.05
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5,35,sweet,dessert,Andhra Pradesh,South,407.65,400.0,13.125,2.375,6.525,169.0,168.75,0.0,74.75,7.75,50.699999999999996
Chikki,"Peanuts, jaggery",vegetarian,10,20,sweet,dessert,Maharashtra,West,371.9,100.0,0.0,0.0,0.0,27.0,4.0,0.0,98.7,0.0,97.6
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,20,60,sweet,dessert,Karnataka,South,95.9,100.0,7.0,4.6,3.7,52.0,115.0,18.0,5.1,0.0,0.0
Double ka meetha,"Loaf bread, milk",vegetarian,20,30,sweet,dessert,Telangana,South,51.3,100.0,1.9,1.2,3.5,52.0,100.0,8.0,4.9,0.0,0.0
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,243.7,200.0,0.65,0.1,7.699999999999999,1.0,90.0,0.0,51.150000000000006,2.2,0.05
Kakinada khaja,"Wheat flour, sugar",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,359.5,200.0,0.95,0.15,7.7,0.5,165.0,0.0,84.5,6.15,50.25
Kuzhi paniyaram,"Black lentils, rice",vegetarian,10,20,sweet,dessert,Kerala,South,127.4,100.0,0.3,0.1,2.7,1.0,42.0,0.0,28.4,0.4,0.1
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,5,20,sweet,dessert,Karnataka,South,443.2,300.0,35.6,21.2,8.8,39.0,137.66666666666666,87.0,20.533333333333335,3.5666666666666664,3.6666666666666665
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,180,60,sweet,main course,Karnataka,South,314.5,100.0,6.4,0.5,10.9,18.0,177.0,0.0,68.3,27.9,0.0
Palathalikalu,"Rice flour, milk",vegetarian,10,25,sweet,dessert,Andhra Pradesh,South,89.35,200.0,1.0999999999999999,0.65,3.1,26.5,71.0,4.0,16.65,0.2,0.05
Poornalu,"Chana dal, jaggery",vegetarian,240,60,sweet,dessert,Andhra Pradesh,South,258.5,200.0,4.25,0.55,1.95,74.5,31.5,0.0,56.75,1.95,50.55
Pongal,"Rice, jaggery, cashews, ghee",vegetarian,5,20,sweet,dessert,Tamil Nadu,South,893.6,100.0,98.2,61.7,0.3,2.0,2.0,253.0,0.0,0.0,0.0
Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,10,60,sweet,dessert,Andhra Pradesh,South,510.5,200.0,49.25,30.900000000000002,1.5,1.5,22.0,126.5,14.2,0.2,0.05
Qubani ka meetha,"Apricots, sugar syrup",vegetarian,10,20,sweet,dessert,Telangana,South,179.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,46.3,0.0,45.3
Sheer korma,"Vermicelli pudding, milk",vegetarian,10,20,sweet,dessert,Telangana,South,105.05000000000001,200.0,1.4,0.7,4.7,26.0,79.0,4.0,17.8,0.9,0.3
Unni Appam,"Rice flour, banana, jaggery, coconut",vegetarian,10,20,sweet,dessert,Tamil Nadu,South,291.35,200.0,14.3,13.200000000000001,2.95,144.5,71.5,0.0,40.349999999999994,5.15,18.5
Kajjikaya,"Rice flour, jaggery, coconut",vegetarian,40,15,sweet,dessert,Andhra Pradesh,South,291.35,200.0,14.3,13.200000000000001,2.95,144.5,71.5,0.0,40.349999999999994,5.15,18.5
Anarsa,"Rice flour, jaggery, khus-khus seeds",vegetarian,10,50,sweet,dessert,Maharashtra,West,127.4,100.0,0.3,0.1,2.7,1.0,42.0,0.0,28.4,0.4,0.1
Basundi,"Sugar, milk, nuts",vegetarian,10,35,sweet,dessert,Gujarat,West,613.2,100.0,53.8,8.7,20.1,277.0,457.0,0.0,21.4,6.9,4.1
Doodhpak,"Milk, rice, sugar, dry fruits",vegetarian,10,60,sweet,dessert,Gujarat,West,246.4,100.0,0.5,0.0,2.4,22.0,69.0,0.0,63.8,7.9,50.8
Mahim halwa,"Semolina, sugar",vegetarian,10,25,sweet,dessert,Maharashtra,West,385.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,100.1
Modak,"Rice flour, coconut, jaggery ",vegetarian,10,15,sweet,dessert,Maharashtra,West,249.64999999999998,200.0,0.15,0.05,1.35,14.0,23.0,0.0,63.55,0.2,48.849999999999994
Shankarpali,"Sugar, ghee, maida flour, semolina",vegetarian,10,35,sweet,dessert,Maharashtra,West,360.0,100.0,1.0,0.1,12.7,1.0,138.0,0.0,73.9,4.0,0.0
Shrikhand,"Curd, sugar, saffron, cardamom",vegetarian,10,720,sweet,dessert,Maharashtra,West,314.5,100.0,6.4,0.5,10.9,18.0,177.0,0.0,68.3,27.9,0.0
Sutar feni,"Maida, sugar, ghee",vegetarian,15,55,sweet,dessert,Maharashtra,West,893.6,100.0,98.2,61.7,0.3,2.0,2.0,253.0,0.0,0.0,0.0
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",non vegetarian,10,40,spicy,main course,Assam,North East,144.8,100.0,0.7,0.0,6.4,16.0,153.0,0.0,32.5,2.0,1.0
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",non vegetarian,-1,-1,spicy,main course,Tripura,North East,111.55000000000001,200.0,0.85,0.0,4.2,14.5,93.5,0.0,25.4,2.0,1.25
Chak Hao Kheer,"Rice, milk, sugar, cardamom",vegetarian,240,45,sweet,dessert,Manipur,North East,314.5,100.0,6.4,0.5,10.9,18.0,177.0,0.0,68.3,27.9,0.0
Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,5,15,spicy,main course,Nagaland,North East,236.2,100.0,14.0,4.9,26.2,57.0,219.0,88.0,0.0,0.0,0.0
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,10,20,spicy,main course,Punjab,North,24.3,100.0,0.0,0.0,4.0,3.0,56.0,0.0,2.0,2.0,0.0
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,5,20,spicy,main course,Punjab,North,129.66666666666666,300.0,1.2333333333333332,0.26666666666666666,3.8333333333333335,12963.666666666666,46.666666666666664,0.0,26.2,1.0333333333333334,1.9333333333333333
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,5,40,spicy,main course,Punjab,North,144.8,100.0,0.7,0.0,6.4,16.0,153.0,0.0,32.5,2.0,1.0
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,10,40,bitter,main course,Punjab,North,607.2,200.0,53.65,4.0,11.4,33.0,148.0,0.0,28.95,12.2,0.0
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,10,40,spicy,main course,Punjab,North,0.0,100.0,0.0,0.0,0.0,38395.0,0.0,0.0,0.0,0.0,0.0
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,20,20,spicy,main course,Punjab,North,0.0,100.0,0.0,0.0,0.0,27579.0,0.0,0.0,0.0,0.0,0.0
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,20,30,spicy,main course,Punjab,North,279.5,100.0,14.4,2.6,13.2,2891.0,294.0,0.0,50.5,34.5,7.0
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,30,120,spicy,main course,Telangana,South,131.53333333333333,300.0,4.466666666666667,1.2666666666666668,9.466666666666667,26.333333333333332,89.0,30.666666666666668,12.700000000000001,0.6333333333333333,1.7666666666666666
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,10,35,spicy,main course,NCT of Delhi,North,542.1999999999999,300.0,46.26666666666667,20.933333333333334,8.966666666666667,452.6666666666667,256.6666666666667,71.66666666666667,30.166666666666668,9.066666666666666,2.1999999999999997
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,20,30,spicy,main course,Punjab,North,464.3,200.0,50.25,5.85,0.45,2.0,11.5,0.0,1.95,0.6,1.3
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,10,10,-1,main course,Maharashtra,West,270.56666666666666,300.0,4.466666666666667,0.6333333333333333,8.833333333333334,242.0,147.0,0.0,50.666666666666664,6.1000000000000005,0.2333333333333333
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,10,35,spicy,main course,West Bengal,East,402.3,300.0,21.666666666666668,4.366666666666666,12.533333333333333,288.6666666666667,331.6666666666667,0.0,51.96666666666667,10.5,2.1666666666666665
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,10,50,spicy,main course,Punjab,North,201.825,400.0,6.5,1.55,12.600000000000001,159.75,144.0,22.0,28.125,6.85,1.875
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,120,45,spicy,starter,Punjab,North,230.5,400.0,6.199999999999999,1.55,10.375,56.5,206.5,92.75,38.925,9.175,0.575
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,20,30,spicy,main course,Punjab,North,247.4,100.0,1.1,0.4,3.9,10.0,64.0,0.0,80.4,53.8,2.3
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,10,90,spicy,main course,Rajasthan,West,361.76666666666665,300.0,20.7,1.7666666666666666,13.333333333333334,207.33333333333334,283.6666666666667,0.0,35.03333333333333,9.0,2.8666666666666667
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,30,30,spicy,main course,West Bengal,East,341.25,200.0,7.0,1.4500000000000002,10.55,43.5,183.0,0.0,66.9,13.35,0.85
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,10,60,sweet,main course,Punjab,North,279.5,100.0,14.4,2.6,13.2,2891.0,294.0,0.0,50.5,34.5,7.0
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,20,50,spicy,main course,Jammu & Kashmir,North,302.8,200.0,23.200000000000003,4.5,8.1,320.5,256.5,0.0,18.45,2.2,3.8499999999999996
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,20,30,spicy,snack,Maharashtra,West,81.63333333333334,300.0,1.6666666666666667,0.2333333333333333,5.066666666666667,18.333333333333332,49.0,10.333333333333334,12.366666666666665,0.6,0.8666666666666667
Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,10,60,spicy,snack,Chhattisgarh,Central,265.5,300.0,7.8,1.366666666666667,10.033333333333333,69.33333333333333,215.33333333333334,0.0,47.13333333333333,13.4,1.7666666666666666
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,30,60,spicy,snack,Uttar Pradesh,North,336.1,100.0,14.9,0.5,16.1,88.0,483.0,0.0,53.0,39.4,0.0
